date,hawkish_surprise
2018-11-08T00:00:00Z,1
2018-12-19T00:00:00Z,1
2019-01-30T00:00:00Z,0
2019-03-20T00:00:00Z,0
2019-05-01T00:00:00Z,0
2019-06-19T00:00:00Z,0
2019-07-31T00:00:00Z,1
2019-09-18T00:00:00Z,1
2019-10-11T00:00:00Z,1
2019-10-30T00:00:00Z,1
2019-12-11T00:00:00Z,1
2020-01-29T00:00:00Z,1
2020-03-03T00:00:00Z,0
2020-03-15T00:00:00Z,0
2020-03-19T00:00:00Z,0
2020-03-23T00:00:00Z,0
2020-03-31T00:00:00Z,0
2020-04-29T00:00:00Z,1
2020-06-10T00:00:00Z,1
2020-07-29T00:00:00Z,1
2020-08-27T00:00:00Z,1
2020-09-16T00:00:00Z,1
2020-11-05T00:00:00Z,1
2020-12-16T00:00:00Z,1
2021-01-27T00:00:00Z,1
2021-03-17T00:00:00Z,1
2021-04-28T00:00:00Z,1
2021-06-16T00:00:00Z,1
2021-07-28T00:00:00Z,1
2021-09-22T00:00:00Z,1
2021-11-03T00:00:00Z,1
2021-12-15T00:00:00Z,1
2022-01-26T00:00:00Z,1
2022-03-16T00:00:00Z,1
2022-05-04T00:00:00Z,0
2022-06-15T00:00:00Z,1
2022-07-27T00:00:00Z,1
2022-09-21T00:00:00Z,1
2022-11-02T00:00:00Z,0
2022-12-14T00:00:00Z,1
2023-02-01T00:00:00Z,1
2023-03-22T00:00:00Z,0
2023-05-03T00:00:00Z,1
2023-06-14T00:00:00Z,1
2023-07-26T00:00:00Z,1
2023-09-20T00:00:00Z,1
2023-11-01T00:00:00Z,0
2023-12-13T00:00:00Z,0
